"","si","lambda_1","lambda_2","mu","alpha","c_l_1","c_l_2","c_r_1","c_r_2","c_r","c_h","S","s","PB1","PB2","Sav","RR","RV","TC","PT"
"138",3,50,200,20,0.3,2,6,5,10,0.01,0.2,120,46,0.592770194533779,0.117537372065494,0.882462627934506,2.35074744130988,1866.73270723557,203.31925538713,1663.41345184844
"139",1,50,200,20,0.3,2,6,5,10,0.01,0.2,120,47,0.570165307829648,0.103005256389447,0.896994743610553,2.06010512778895,1901.44816026369,183.27436355237,1718.17379671132
"140",2,50,200,20,0.3,2,6,5,10,0.01,0.2,120,47,0.549281333551787,0.0920988389636204,0.90790116103638,1.84197677927241,1928.48198868481,167.838692478857,1760.64329620596
"141",3,50,200,20,0.3,2,6,5,10,0.01,0.2,120,47,0.596659888040195,0.116841748785658,0.883158251214342,2.33683497571316,1867.15153041864,202.856920967908,1664.29460945073
"142",1,50,200,20,0.3,2,6,5,10,0.01,0.2,120,48,0.57447521214828,0.102352240583594,0.897647759416406,2.04704481167188,1901.67671579574,182.90619324103,1718.77052255471
"143",2,50,200,20,0.3,2,6,5,10,0.01,0.2,120,48,0.554035518642754,0.0914739734533071,0.908526026546693,1.82947946906614,1928.5431734327,167.549400576433,1760.99377285626
"144",3,50,200,20,0.3,2,6,5,10,0.01,0.2,120,48,0.600432530752174,0.116167058583814,0.883832941416186,2.32334117167628,1867.55775014433,202.408499370089,1665.14925077424
"145",1,50,200,20,0.3,2,6,5,10,0.01,0.2,120,49,0.57867288060364,0.10171623021157,0.89828376978843,2.0343246042314,1901.89931942595,182.547610593283,1719.35170883267
"146",2,50,200,20,0.3,2,6,5,10,0.01,0.2,120,49,0.558677930106464,0.0908637988907165,0.909136201109284,1.81727597781433,1928.60291969195,167.266910093105,1761.33600959885
"147",3,50,200,20,0.3,2,6,5,10,0.01,0.2,120,49,0.60409190604479,0.11551262485041,0.88448737514959,2.3102524970082,1867.95177378798,201.973540896411,1665.97823289157
"148",1,50,200,20,0.3,2,6,5,10,0.01,0.2,120,50,0.582761472948961,0.101096746522885,0.898903253477115,2.02193493045769,1902.11613871699,182.198345689602,1719.91779302739
"149",2,50,200,20,0.3,2,6,5,10,0.01,0.2,120,50,0.563211302642228,0.090267955841109,0.909732044158891,1.80535911682218,1928.66126265723,166.991054622572,1761.67020803465
"150",3,50,200,20,0.3,2,6,5,10,0.01,0.2,120,50,0.607641626309269,0.114877801554229,0.885122198445771,2.29755603108458,1868.33399031422,201.551616172992,1666.78237414123
"151",1,50,200,20,0.3,2,6,5,10,0.01,0.2,120,51,0.586744016078933,0.100493330897131,0.899506669102869,2.00986661794263,1902.327334186,181.858139959803,1720.4691942262
