"","lambda_h","lambda_l","mu_f","mu_s","K_l","K_h","alpha","r_h","r_l","PB_l","PB_h","RJ","N_h","N_l","W_l","W_h","TC"
"39",25,35,30,20,10,10,0.7,4,9,0.322469356229417,0.0419530717246419,2.22544973218974,4.06584740939388,8.59033369001182,0.166291837577081,0.155810904856245,26.974386182417
"40",25,35,30,20,10,10,0.7,4,10,0.24962101026219,0.0311037941521673,6.09484862641457,3.2892913216308,8.69004945795227,0.186309443800852,0.127479275258252,22.980176974414
"41",25,35,30,20,10,10,0.7,5,1,0.250862238495342,0.073540164025498,6.28161089385159,5.86346779914239,7.90526438927565,0.169203773390984,0.217290696617409,26.4026186858225
"42",25,35,30,20,10,10,0.7,5,2,0.251752846102654,0.0729270814330006,6.19085981633583,5.82627840728137,7.93107033897206,0.169554308814157,0.216055397096889,26.3728098825594
"43",25,35,30,20,10,10,0.7,5,3,0.253305740668682,0.0720863854575609,6.06641644350487,5.77528206119486,7.97163470406334,0.170067824886011,0.214358514096217,26.3551535027218
"44",25,35,30,20,10,10,0.7,5,4,0.255783267536038,0.070901055078844,5.89095882915222,5.70338030362038,8.0286329501806,0.170715513723883,0.211960184903112,26.350402505189
"45",25,35,30,20,10,10,0.7,5,5,0.259599145049326,0.069193139303447,5.63814591483985,5.59977868482686,8.10378539211061,0.171429989504442,0.208492496728766,26.3607293042423
"46",25,35,30,20,10,10,0.7,5,6,0.265417722729562,0.0666824032928634,5.26649615491117,5.44747825010594,8.19838670268195,0.172068273542851,0.203369092340131,26.3904409348363
"47",25,35,30,20,10,10,0.7,5,7,0.274345162609705,0.062907046311455,4.70765185193752,5.21846631612669,8.31239842567617,0.172340917940211,0.195607520556134,26.4474092299846
"48",25,35,30,20,10,10,0.7,5,8,0.288331514592722,0.0570573012191126,3.84174785006374,4.86362266995491,8.44259026074716,0.171666440679433,0.183444699450368,26.546122115707
"49",25,35,30,20,10,10,0.7,5,9,0.311120466339322,0.0475826995206658,2.4392772470994,4.28889639391544,8.5783033358866,0.168840502903583,0.16339276502114,26.7149167674477
"50",25,35,30,20,10,10,0.7,5,10,0.221699152936132,0.0311037941521673,6.68422911739708,3.2892913216308,8.69004945795227,0.193242081547176,0.127479275258252,21.3217237346305
"51",25,35,30,20,10,10,0.7,6,1,0.232353059118281,0.0940076537306829,6.93064854030818,6.44748564893315,7.7762176184001,0.170553990468439,0.233654906024588,26.9782816705459
"52",25,35,30,20,10,10,0.7,6,2,0.233433219012351,0.0929887690851028,6.81838942888087,6.39633082744195,7.80940927918638,0.171040963787457,0.232061755885481,26.920329148565
"53",25,35,30,20,10,10,0.7,6,3,0.235276535146493,0.0916332335837191,6.66903865442999,6.32827388213506,7.86037809210888,0.171743301990174,0.229935747332465,26.8716729897792
"54",25,35,30,20,10,10,0.7,6,4,0.238158694516134,0.0897698416731056,6.46373305773293,6.23471914954675,7.93040356842184,0.17262025735944,0.227001175944626,26.8291381451119
"55",25,35,30,20,10,10,0.7,6,5,0.242516156473893,0.0871419439642599,6.17419541184083,6.10278111438616,8.0207759737851,0.173588806076703,0.222838916179607,26.7895794589535
"56",25,35,30,20,10,10,0.7,6,6,0.249051318450431,0.0833481956889633,5.7562061799772,5.91230958588957,8.13227543322038,0.174483471844994,0.216781169982044,26.7494535715475
"57",25,35,30,20,10,10,0.7,6,7,0.258938300500969,0.0777276230664227,5.13694030816714,5.63011926097728,8.26421444709995,0.174979794376924,0.207700138929641,26.7041089752593
"58",25,35,30,20,10,10,0.7,6,8,0.274263045023265,0.0691147102121566,4.18798308517333,5.19769344958584,8.41250073337961,0.174436076170928,0.193538254921844,26.6463719538065
"59",25,35,30,20,10,10,0.7,6,9,0.299083750014833,0.0552500954115778,2.66040158264839,4.50159708750545,8.56517236821296,0.171527671337268,0.170115336756652,26.5632067182279
"60",25,35,30,20,10,10,0.7,6,10,0.19843093849775,0.0311037941521673,7.29665241708003,3.2892913216308,8.69004945795227,0.199019279669113,0.127479275258252,20.0003158134097
"61",25,35,30,20,10,10,0.7,7,1,0.209598956139976,0.123173619338883,7.72633217950604,6.99991549032916,7.59784424377232,0.171581257753243,0.24550842257276,27.9792866173192
"62",25,35,30,20,10,10,0.7,7,2,0.210947410969347,0.12145654152915,7.58223813447935,6.93071333416769,7.64263092743484,0.172298220579949,0.243557314490789,27.8716282140398
"63",25,35,30,20,10,10,0.7,7,3,0.213187876362503,0.119259532642814,7.39786914689043,6.84216885984125,7.70941335817672,0.173310282752752,0.241046999974135,27.7699458235639
"64",25,35,30,20,10,10,0.7,7,4,0.216605264656931,0.116334877682955,7.15243742499364,6.72429858739151,7.79862568866114,0.174554351640239,0.237681125348946,27.6649907227759
"65",25,35,30,20,10,10,0.7,7,5,0.221656680174741,0.112318876737186,6.81542193400847,6.56244457995027,7.91074198439955,0.17592209081196,0.233014327043209,27.5458887816177
"66",25,35,30,20,10,10,0.7,7,6,0.229083186282969,0.106647964652833,6.33952931190751,6.3338938751337,8.04568648761662,0.177215856891416,0.226335879400946,27.398063331683
"67",25,35,30,20,10,10,0.7,7,7,0.24013298066341,0.0983942204534497,5.64689011899299,6.00124913896334,8.20181940273303,0.178065487505479,0.216430436327524,27.1994346428743
"68",25,35,30,20,10,10,0.7,7,8,0.257048027308346,0.0859092178733151,4.59917142287856,5.49807502924652,8.37391643869218,0.177754792493755,0.201029588147006,26.9124106337238
"69",25,35,30,20,10,10,0.7,7,9,0.284263350634977,0.065948542428422,2.92410786430448,4.69361423463593,8.54844332388978,0.174812405197933,0.175363088685616,26.4643458018518
"70",25,35,30,20,10,10,0.7,7,10,0.179040759799099,0.0311037941521673,8.03239658314417,3.2892913216308,8.69004945795227,0.203833611437393,0.127479275258252,19.0118382538898
"71",25,35,30,20,10,10,0.7,8,1,0.178219648598816,0.166632386176296,8.81689158787683,7.49089789428062,7.30843068783774,0.171597849681214,0.249706868142146,29.5903645367135
"72",25,35,30,20,10,10,0.7,8,2,0.180004601838962,0.163560254384584,8.6170322626477,7.39565681684209,7.37525456385606,0.172790708646519,0.247440852261533,29.3836240772074
"73",25,35,30,20,10,10,0.7,8,3,0.182862081491811,0.159850041435465,8.37566219562529,7.28063418670828,7.47082554164915,0.174419852361171,0.24467298041146,29.1830849666596
"74",25,35,30,20,10,10,0.7,8,4,0.187075528898355,0.155134442960311,8.06888618691422,7.13444297162019,7.59356319924954,0.176371238500767,0.241105805415431,28.9688616498562
